"","x","route","location","url","avg_stars","route_type","rating","pitches","length","area_latitude","area_longitude","desc","protection","num_votes"
"11",91163,"Visible Panty Line","Wall Street > Potash Road > Moab Area > Utah","https://www.mountainproject.com/route/105717727/visible-panty-line",2.4,"Trad","5.10a",1,70,38.54669,-109.59961,"This is kind of a sporty route~ as far as climbing with gear goes.  Little bit everything on this one from a hand jam~ to finger slots~ to not-so-obvious stemming to friction. It doesn't look like much from the ground~ but it climbs fairly well.      If you're a snobby climber - don't bother with this one.  We'd all hate to hear another whiny climber.  However~ if you're the type of climber that likes to climb for the sake of experience~ versatility~ and simple fun~ then put on those shoes and put this baby up.     If you're up for it~ on the way down Visible Panty Line~ set up a top-rope on High Over Datura to the right.  Although the TR of this face might not be worth it to you unless you are willing to try 5.11+ friction and balance.  It's a humbling and a learning experience.","Mostly TCUs and stoppers.  Actually~ I probably only slotted one nut.  One friend for down lower~ don't remember which size~ but you can tell from the ground what you'll need.  One quickdraw for a piton at the crux.",75
"12",5447,"Tan","(a) South Face > (a) Diamondback > (g) Southern Crags > Skaha > Okanagan > British Columbia > Canada > North America > International","https://www.mountainproject.com/route/110477984/tan",2,"Sport","5.9",1,40,49.43692,-119.5617,"Some fun stemming with good feet and hands.  Nicely protected.","5 bolts.",19
"13",70458,"O-C-D","05. Lost Valley aka Out Back > -Camden Hills > Maine","https://www.mountainproject.com/route/109385465/o-c-d",2.4,"Sport","5.7",1,50,44.24959,-69.08219,"layback up and on to a big flake. then face climb straight up past a low bolt left of a big flake- straight up a wondering face past two bolts to a small ramp on right( original trad line) then two more bolts of crux climbing to high anchor in the roof.   originally a trad line to the right - but the direct start was much cleaner and better climbing-","5 bolts to lower offs",19
"14",30206,"HyperNova","Killer Cave > Sinks Canyon > Lander Area > Wyoming","https://www.mountainproject.com/route/107132831/hypernova",3.3,"Sport","5.12b",1,80,42.74193,-108.83178,"Crux over buldge in middle of route. Red point tech crux last two bolts. Long and sustained last 5 bolts of climbing.","Draws",19
"15",80403,"My Stinky Hole","Tall Cliffs > Black Cliffs > West Idaho > Idaho","https://www.mountainproject.com/route/108033931/my-stinky-hole",1.3,"Sport","5.10c",1,60,43.5363,-116.0857,"A fun~ yet appropriately named~ route.  Climb the column without using the cracks on either side.    A tricky start on thin holds through a roof (crux) leads to the first bolt.  If you don't want to commit to the moves before the first bolt~ you can climb the crack next to the column~ clip bolt #1 from there~ then downclimb and start the route with the rope clipped above.      After the initial crux~ easy but fun jug pulling up the vertical column commences past several more bolts before reaching a bird-poo covered ledge (Hence the name).      From the ledge~ clip the last bolt and head up and slightly left onto steep rock.  You may want to bring some tiny nuts or cams to protect the final awkward step to the right to gain the anchors.","6 bolts~ plus a tiny cam/nut or two. 2 bolt anchor.",12
"16",83592,"Bust a Move","4 Moon Wall > Lower Meadow > Meadow River Gorge > The New River Gorge > West Virginia","https://www.mountainproject.com/route/106765628/bust-a-move",2.8,"Sport","5.10d",1,60,38.15369,-80.93558,"This is a high quality route this is likely overlooked.   Excellent moves that link perfectly.   Start directly under the high first bolt and climb straight up using positive holds to gain the large ledge below the first bolt.   From here~ follow a flake to the 2nd bolt~ traverse right hand over hand and then head up to reach the 3rd bolt.   A thin section leading to the 4th bolt is the crux.   Diagonal up and right along jugs to reach the shuts.","4 bolts~ shuts.   .75 Camalot works well to protect the area before the first bolt.",23
"17",33642,"Safe Harbor Direct","c Electric Co. Sector > Safe Harbor South > Safe Harbor > South Central PA > Pennsylvania","https://www.mountainproject.com/route/107385296/safe-harbor-direct",2.7,"Sport","5.9+",1,50,39.91599,-76.37581,"Similar to its slabby neighbors~ but SHD requires more thinking and delicate balance for some moves. A pleasure to climb.","6 bolts to anchors~ hardware in good condition.",116
"18",2479,"Goody Two Shoes","Slab City (Left) > (a) Slab City > Riverside Quarry > Inland Empire > California","https://www.mountainproject.com/route/105904286/goody-two-shoes",2.1,"Sport","5.10a",1,60,34.01894,-117.41637,"This route is quite fun~ easy climbing to the 4th bolt then it gets steep~ getting over the head wall is the crux~ small feet almost no hands~ well protected though.","7 bolts~ ring anchors",24
"19",105324,"The Emperor's New Clothes","Emperor Boulder > Mickey's Beach > San Francisco Bay Area > California","https://www.mountainproject.com/route/112108364/the-emperors-new-clothes",3.5,"Sport","5.12d",1,65,37.87816,-122.62111,"Currently the right most route on the cliff. Starts on a 6 foot tall boulder to the right of the cliff and do a hero jump to gain a large rail 10 feet off the ground. An alternative start is to boulder up to the same rail at V7 which apparently only bumps the grade up to 5.13a. After either start~ you will be met with some awesome climbing that will take you to the highest point on the cliff. Stick Clip first bolt.","9 bolts to 2 bolt anchor",11
"20",91594,"Jolly Mon","First Practice Wall > Logan > Wasatch Range > Utah","https://www.mountainproject.com/route/106018121/jolly-mon",2.4,"Sport","5.10b",1,60,41.7445,-111.7579,"Fun climbing up to a technical crux towards the top.  You can keep going past the first set of chains~ but the climbing gets considerably easier (5.4 range) and the bolts are fairly sketchy.","Bolts and chains~ bring some webbing just incase the top (second pitch) chains are sketchy.",31
"21",93040,"Susey's Groovy","Left Hand Wall > Hairpin Turn Area > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona","https://www.mountainproject.com/route/105738410/suseys-groovy",2.4,"Trad","5.8",1,60,32.31428,-110.74269,"well~ the book says near this area is the route called ""the party's over.""  i don't want to mix up this route with that one~ but with the books' vague description i can guess this is an unnamed route.  the route is in an obvious corner of lefthand wall west of ""unemployment line"" and features an open book stemming fest up top.  start with 30 feet of 5.6 where gear can be placed (careful of loose rock).  then the fun begins.  enjoy some solid stemming through five bolts and end at chains.","6 quickdraws~ set of stoppers",47
"22",32012,"Thistle Do","West End > WM: Monegaw Springs > Missouri","https://www.mountainproject.com/route/112492341/thistle-do",2.6,"Sport","5.8",1,30,38.02596,-93.84681,"Float up the low-angle face on comfy crimps and awesome ledges~ finishing below the roof.","3 bolts~ lower off anchor.",14
"23",27030,"Columeister","Minnesota Strip > Interstate SP (Taylors Falls) > Minnesota","https://www.mountainproject.com/route/105826925/columeister",2.5,"Trad, TR","5.6",1,75,45.39843,-92.6535,"Start to the right of the column and work your way up on the arete.  Leadable but pro a little thin in sections.   RCM&W #49~ p.166.","Nuts~ hexes~ smaller cams.   Standard top rope set up.",54
"24",77683,"Route 66","The Northern End > Trout Creek > Central Oregon > Oregon","https://www.mountainproject.com/route/106517711/route-66",2.4,"Trad","5.7",1,60,44.803,-121.10752,"This is the best line on The Prow. A thin crack at the bottom with some stemming. After about 25 feet the rock leans back for easier climbing. Once one gets above the columns (~50')~ the route becomes a bit more jumbled but everything is solid. Avoid obvious loose chunks. ","Gear to 2""",26
"25",110012,"Unknown","Goats Head Soup > Seward Highway > Anchorage & South Central Alaska > Alaska","https://www.mountainproject.com/route/108170427/unknown",1.4,"Sport","5.8",1,60,60.98632,-149.61141,"Shares a start with Great Lobster Dispute. Climb up past the first two bolts of that route (long slings here) and break out left onto the ledge. Around the arete to the left~ follow the less-than-vert face and left-facing corner past more bolts and some looseness. Doesn't appear to get much traffic. One star for the length.","7 bolts~ 2 bolt chain anchor.",12
"26",50904,"Botulism","First Buttress > Kootenai Canyon > Northwest Region > Montana","https://www.mountainproject.com/route/107110318/botulism",2.2,"Sport","5.11b",1,80,46.53817,-114.15457,"A slightly overhanging start leads to a short but powerful crux to reach the upper slab. Fun moves through a small roof.","Quickdraws~ chain anchors~ optional small cam to protect the upper face/slab.",21
"27",64292,"The Regular Route","Standing Rock > Island In The Sky > Moab Area > Utah","https://www.mountainproject.com/route/105717778/the-regular-route",3.8,"Trad","5.11c",4,350,38.30083,-109.83734,"This is my favorite desert tower route. Now all free~ with a well-protected crux~ much Eldorado Canyon-style face climbing on fine rock~ cheek-clenching exposure (or is it fine exposure and cheek-clenching rock?)~ and a classic flat summit. The regular route (the only other route~ on the south side~ has aid and is  likely unrepeated) is a true desert classic~ combining a sense of history and exploration with technical high quality pitches.Start on the northeast corner~ under a big clean dihedral.    1. Scramble over some blocks then jam and stem up the dihedral to the roof. Great gear. This is about 5.9/5.10-. Then awkwardly lurch rightwards under the roof~ a tad harder~ to a blind reach for~ well~ whatever you can grab out on the face. Launch up a short steep wide section (5.10b/c) to easier ground~ where the impacts of so many groping hands and feet~ over the years~ have removed all traces of the traditional kitty-litter.Saunter up to a tiny exposed ledge and fixed anchor. Double ropes help protect this pitch.    2. Comb your hair and brush your teeth for the photo-op traverse. After this rightwards stroll~ launch up a blocky and sustained right-facing system. Again~ two ropes and liberal use of slings here is a good idea on this long pitch. There are several moderate 5.10 boulder problem moves between rests~ then the crack angles up and left past a steep weird section~ then passes a relic of an old fixed anchor. A belay here is possible~ but will be hanging and awkward. Best to boldly keep going up the slowly steepening terrain above. Angle up and left into a squat dihedral~ then exit this up and right. Wires are surprisingly good here~ though be careful to use adequate slings as the placements are often hidden in recesses and funny horizontals. A final funky bulge onto a great ledge completes one of the better trad 5.10 pitches anywhere.    3. The Token Sport Pitch. This has a short but burly overhead-bolt protected 5.11c crux~ just above a nice rest ledge. Actually this is hardly a sport pitch; there is a very funky move off the belay to get onto the rest ledge. Once above the crux~ more steep 5.10 Eldo-style face climbing with wires for gear gains a crappy old bolt and a mantel onto an elephants-ear flake. If the elephant is in a kind mood~ which it usually is~ the flake will stay put~ and you can belly-scrape up onto the next belay ledge. However this elephant appears to have some form of leprosy~ and one day the ear will detach itself. In fact one day the crucial hold at the 5.11c crux will also go south (or north in this case) and this pitch will be rather harder. Once on the ledge~ you can relax~ all the hard climbing is over with~ and while your partner leads the 5.8 glory pitch up and right to the easy finish~ you can lean over the void below and envisage the scene should the whole tower topple. If it did~ it would fall south~ and the climbers would be left with a few seconds of quiet contemplation and a whistle of the wind~ before the end. Maybe~ just before the tower hit the ground~ if you jumped up with enough force~ you could actually land unhurt on the debris.    Wow~ wait a minute~ the ropes are suddenly tugging~ and off you go easily up the last pitch. Or if your partner is Jonny Copp~ he'll not be satisfied with the regular finish~ and you'll find yourself struggling up the direct finish. Hmmm. This wasn't in the script. Hideously awkward mantels and steep face~ very solid 5.11~ lead straight up to the nice new rap bolts. The summit is a very cool place to be~ where the silence is loud~ and everything else is very small.  There is still a register under the cairn~ though the sequence of ascents is pretty hard to figure out anymore due to the assortment of broken pencils~ torn candy-bar wrappers and oddments with odd scrawls. Bring more paper!    For me~ it appears I am competing with one Jimmy Dunn~ who has also been up here four times. The rate of ascents is interesting. Maybe ten or a dozen ascents a year now. One a month. A total of about 100 ascents is my guess. Rap the route. Two 60 meter ropes gain the top of the second pitch. Fron here~ rap to the top of the first pitch~ then again to the ground. Get ready for the drive from hell; it's a loooong way to the Moab Brewery. Kor and Ingalls may have done the first ascent~ but Castleton Tower it ain't.","'A regular rack of cams from small Aliens to #3.5 Friend (maybe two sets) and wires (include RPs) and quickdraws. Plenty of slings. There is a nice optional placement for a #5 Camalot just over the lip of the roof on pitch one. '~",71
"28",24979,"Squeeze My Cobbles","Big Pine Wall > El Rito Sport Area > El Rito > New Mexico","https://www.mountainproject.com/route/111126961/squeeze-my-cobbles",3.3,"Sport","5.11b",1,56,36.39277,-106.19575,"From the ground a few feet right of the start of Cobble Wobble~ climb the big flake to the left end of the ledge. Clip the first bolt just above the ledge and climb up the initial corner and onto the face to a big~ semi-dirty flake.  Bust onto the slightly overhanging face through a sequential couple of moves on thinner crimps to neat pockets up to a bulge in the black streak. Climb jugs around and over the bulge to a few more pumpy moves to the anchor.","Eight bolts to chain anchor.",32
"29",102946,"No Feelings","3. The Right Wall > The Waterfall > Oak Creek Canyon > Northern Arizona > Arizona","https://www.mountainproject.com/route/105852480/no-feelings",3,"Trad","5.10+",1,100,34.93143,-111.73278,"   First recorded route done at the Waterfall Area...    A classic route on the right side.  Starts on some easy face~ then a nice hand crack and an improbable roof.  I puked on the ledge at the chains~ but it should be dry by now. ","Double set~ triple hand sized. ",57
"30",27972,"Grendal","Monster Wall > Upper East Fork (UEF) > Jemez Mountains and Jemez Valley > New Mexico","https://www.mountainproject.com/route/106383004/grendal",1.7,"Sport","5.10b",1,60,35.8202,-106.5173,"Six fun bolts with a crux at the top. Go right onto the arete at the last bolt and it's 11a.","6 bolts~ 2-bolt anchor",31
"31",19849,"Red Tide","Neptune > Reef of Rocks > 7 - Upper Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona","https://www.mountainproject.com/route/111123235/red-tide",3.8,"Sport","5.13a",1,100,32.46112,-110.78115,"Excellent climbing on the best rock you can find in the mountain. Starts with a steep (lower quality rock) section up to a good juggy ledge. Then the party starts. Hard  long moves on small crimpers and no feet traverse up and right unto a red wall. The climbing here is delicate and superb~ moving up towards the large underclinging flake. Then pompy long moves put you on a decent rest just before a very thin and committing crux high above your last bolt~ just before you clip the anchors.       The harder sections of this climb are just above vertical and many sections overhang. So make no mistake~ holds could be small~ but this is no slab. This is steep hard face climbing with multiple dynamic moves and tricky footwork. Bring your guns to fight the pump~ your dancing shoes to fight the techy moves~ and your iron fingers to fight the crimpers.","Spaced out bolts",13
"32",6934,"East Crack","East Wall > Main Formation > Lover's Leap > Highway 50 Corridor > Lake Tahoe > California","https://www.mountainproject.com/route/105812271/east-crack",3,"Trad","5.8",3,400,38.80261,-120.13204,"The crux comes on the second pitch when climbing over several bulges. The bulges are short but sweet with easier climbing in between. A good route to break into the 5.8 realm. The route meets up with several other routes at bushy ledge. Expect crowds on most sunny days.","Cams~ .5"" - 3"" Nuts~ 1 set.",273
"33",59518,"Last Nights Pudding","Flower Power Ledge > McKelligon Canyon > Franklin Mountain Range > Texas","https://www.mountainproject.com/route/106199124/last-nights-pudding",1.9,"Sport","5.7 PG13",1,35,31.836,-106.4844,"Follow easy ledges and cracks to the chains. This route is labeled 1 on the wall.","4 bolts with chains",15
"34",64140,"Haggis","Mutton Block > Lambs Knoll > Saint George > Utah","https://www.mountainproject.com/route/112572759/haggis",3,"Sport","5.11c",1,45,37.30785,-113.10791,"Overhanging face on edges and pockets.","5 bolts to chains.",17
"35",30903,"Boob Tube","Fire Wall > Tonsai Bay > Laem Phra Nang (Railay & Tonsai) > South - Islands & Beaches > Thailand > Asia > International","https://www.mountainproject.com/route/106083752/boob-tube",2.8,"Sport","5.10c",1,75,8.01837,98.8302,"Nice route~ do it while waiting for Groove Tube~ or afterwards~ but do it. Has a bit of trickery for the rating.","8-10 draws.",60
"36",85927,"Second Breakfast","Ephel Duath > Towers of Teeth > Middle Earth > Sylvan Lake > Custer State Park > South Dakota","https://www.mountainproject.com/route/115178195/second-breakfast",3.3,"Sport","5.6",1,115,43.84875,-103.57026,"When you had breakfast~ but you want a little more - try this tasty route. A nice long pitch with good holds~ nice movement~ in a beautiful setting. It has fun written all over it. If you like bacon~ you'll love this.","14 bolts and chains at the top. You will need one 70 meter rope or 2 ropes to get down.",16
"37",76926,"Memorial Route (aka Caudill Queen King Route *original name*)","Slick Rock > McCall Area > West Idaho > Idaho","https://www.mountainproject.com/route/106018806/memorial-route-aka-caudill-queen-king-route-original-name",3,"Sport","5.8+",9,1000,44.95018,-115.94934,"The crux comes on the 6th and 7th pitches which in my opinion both go at 5.8+.  Take plenty of quickdraws because the crux is slabby~ but the bolts are quite close together at the hard parts.  On some of the easier pitches there is decent runout.  All bolted anchors.  Comes really close to the regular route at pitch 5 or so.    Additional user submitted route info:   Some more info on the pitches 1-5.7~ 2-4th~ 3-5.4~ 4-5.7~5-5.8~ 6-5.8+~ 7-5.8~ 8-5.7 (5.9 if you follow the bolt line over the roof and do not go left)","13 quick draws~ cord and locking biners for anchors plus a pink tricam to protect the move over the roof on P6.",44
"38",10025,"The Cleft","Discovery Wall > East Side > Pinnacles National Park > Central Coast > California","https://www.mountainproject.com/route/106467563/the-cleft",2.2,"Trad","5.6",1,90,36.4759,-121.18616,"Pretty fun chimney which goes pretty straight up then out to the left for an easy but fairly runout slab/scramble up to the top. Decent rock with the crux being getting yourself through a narrower constriction in the chimney.","One fixed pin and two bolts. Takes standard set of hexs and nuts for further protection. Two bolts and hangers at top.",34
"39",59806,"El Machete","Georgetown Hospital > Austin Area > Texas","https://www.mountainproject.com/route/107950312/el-machete",1.6,"Sport, TR","5.9+",1,35,30.6266,-97.6895,"Climb the blunt arete in the middle of the wall. Boulder up to the first bolt~ climb right of the second bolt~ and then finish on the vertical wall above.","3 bolts and a 2 bolt chain anchor",14
"40",67619,"Poplar Crack","Holloway Mountain > 2. Northern Mountains Region > North Carolina","https://www.mountainproject.com/route/106493933/poplar-crack",2.4,"Trad, TR","5.7",1,40,36.14682,-81.76034,"A great beginner climb. Some really fun moves. The crux comes about halfway up~ could lie back to complete.","If toproping~ must use natural anchors. The crack starts off about fist width and gets gradually smaller. Cams and nuts should do the trick.",44
"41",112177,"Psychosis","Redgarden - Tower One > Redgarden Wall > Eldorado Canyon SP > Boulder > Colorado","https://www.mountainproject.com/route/105753610/psychosis",3.6,"Trad","5.10d PG13",3,210,39.93194,-105.28603,"Psychosis is on the W/SW face of Redgarden Wall~ and thus it gets morning shade and afternoon sun.  The route begins from the same ledge as The Yellow Spur and Vertigo~ and is more or less half way between the direct starts of these two routes.    Go up the Redgarden Wall trail from the Streamside trail until a metal ladder takes you up just beside the large boulder against the wall.  The dihedral just above the ladder on the wall~ behind the boulder~ is Schizophrenia.    Schizophrenia is a 5.8** approach pitch to Psychosis and will deposit you more or less at the base of the route.    If you do not want to climb Schizophrenia~ continue up several switch-backs until a broad ledge appears as for the approach The Yellow Spur.  Cut back S/SW on this ledge at the base of the rock to an impressive looking evergreen (Douglas Fir).  Just down and right of the tree is a weakness in the large roof~ some 15' or so from the ledge.      P1) Climb up and over this roof on small but positive holds with poor protection (10a/b~ S).  This is essentially a mantel move with one high reach.  Short climbers will find this more difficult than those who are tall.  After that sequence~ some gear can be had here and there for the rest of the way up~ the now more moderate pitch.  A belay is reached soon~ as this is a fairly short pitch.    P2) Climb up and left to a junky and nondescript right facing dihedral to a ledge~ which can afford a belay~ the position of which will depend on how you will do the 3rd pitch~ so that is where the belay is described.  Better yet~ don't do this pitch at all and instead do the 2nd pitch of 3 Old Farts Young At Heart (10d) which adds challenge and quality to the line.    P2a) Climb up directly above the belay on P1 through a crack. This crack splits a short dark section of rock which passes through a small roof (crux~ 10d).  This pitch consists of good rock with good gear.     P3) The standard finish of Psychosis.  From the top of P2 ledge~ move up and left on the ledge~ then up again to a good stance to belay.  From the belay~ traverse down and right (5.10d) to a 5.10a handcrack~ which goes to the op of the wall and deposits the climbing party on the top of the upper ramp.  Some people find the traverse frightening due to its position and lack of gear.    P3a) The better finish of Psychosis.  From the top of P2~ arrange the belay as if directly above P2a.  There is an enormous overhanging wall which a handcrack and pockets galore directly above you.  Climb it (5.11a) until the angle eases off to where the standard finish merges with the crack at the end of its traverse.  Continue to the top on the handcrack (5.10a).  There is a little questionable rock on the overhang~ but the holds for the climb and the crack are good and take good gear; it is better and probably safer than the standard finish~ although harder.    From the top of the route~ some length and quality can be added by finishing your day on Italian Arete or Body Tremors.","The protection in some places leaves a little to be desired.  Take a standard Eldo Rack and make sure you have small gear with you. Some of the runouts can be avoided by taking the harder alternate pitches of ""3 Old Farts..."" and the 5.11 finish instead of the 5.10 finish.",86
"42",65216,"Blue's Buttress","Poster Peak > Washington Pass > North Cascades > Northwest Region > Washington","https://www.mountainproject.com/route/111086662/blues-buttress",1.8,"Trad, Alpine","5.6",10,800,48.50271,-120.63726,"Good~ fun~ easy alpine route. Ian's guidebook gives great information for this route~ so I won't belabor the point. I will say that once you are on route~ stop looking at the guidebook or topo. Just stay on the ridge following the line of least resistance. Experienced alpinists will enjoy this route as a solo. This route has a lot of loose rocks on it. Be careful climbing under other parties. A planned trundle-party where no one is underneath the route would make this route a lot better. The rock quality is okay~ never really more than that.","Experienced alpinists will get by with a single rack~ a few runners. For those more new to the game and if you'd like to have more options when you run out of rope and are on a ledge with only one crack to work with~ you may want a double rack up to #3~ 6-7 runners. A double-length runner or two comes in handy when trying to reduce rope-drag on long leads through all the various ledges.",27
"43",59081,"Churning in the Dirt","Front Corridor > Parking Lot Area > 05-Sandstone Quarry > Red Rock > Southern Nevada > Nevada","https://www.mountainproject.com/route/106110532/churning-in-the-dirt",2.4,"Sport","5.12b",1,50,36.16234,-115.4495,"Work some juggy holds through the first bolt~ where thin~ positive crimps trend leftward into a short traverse. The pump carries directly into the arguably single-move crux of the route. Get your feet right~ manage your pump~ and its over. The remainder of the route is simply good~ technical climbing. Crimps~ high-feet~ and a couple of lovely jugs.  I managed to break off two or three holds~ and its admittedly still a bit sandy~ but the movement is very good! A worthy route that will clean up nicely. Give this thing some love!","6 bolts to shared anchors with Sound of Power.",14
"44",93591,"Cactus Rose","Cactus Rose Cliff > Shelf Road > Canon City > Colorado","https://www.mountainproject.com/route/106556460/cactus-rose",2.9,"Sport","5.11+",1,60,38.6317,-105.2306,"This is the cliff's namesake.... It is an obvious dihedral on the right face of the cliff.  This is listed in the Shelf guide as 4 bolts with no anchor.  Currently~ it has 6 bolts and ring anchors (1st and 6th look new). Fun~ committing climbing (scary clip at 3rd bolt~ more runout climbing above) leads up to the 5th bolt.  At this point according to the guide~ you could traverse left to the anchors on E=mc2. Now a new bolt leads you up over a SHARP bulge to ring anchors. These moves felt harder than 11c~ but it could have been the pain affecting my judgment....","6 bolts plus anchors.",15
